iter	Logloss
0	0.67055837
1	0.6470583089
2	0.6230442301
3	0.6006332397
4	0.5820932515
5	0.5623191325
6	0.5434572347
7	0.5254297384
8	0.510038147
9	0.490835673
10	0.475127004
11	0.4603128052
12	0.4458600871
13	0.4334854126
14	0.4204666646
15	0.4086010234
16	0.3965249125
17	0.3848832194
18	0.3743215942
19	0.3620018514
20	0.3501069641
21	0.3402249146
22	0.3318305969
23	0.3227163442
24	0.3131737264
25	0.3044083659
26	0.2958015951
27	0.2895234172
28	0.2831031291
29	0.2751084391
30	0.2691015879
31	0.2633832041
32	0.2584051514
33	0.254081955
34	0.2481697591
35	0.2425123596
36	0.2374766032
37	0.2317897542
38	0.2262769318
39	0.220811615
40	0.2160275777
41	0.211424408
42	0.2073491669
43	0.2028602982
44	0.199364268
45	0.1955371221
46	0.1920401255
47	0.1878826777
48	0.1840072632
49	0.1809671148
