iter	Passed	Remaining
0	492	24155
1	847	20335
2	1217	19076
3	1592	18311
4	1944	17503
5	2313	16968
6	2700	16591
7	3080	16171
8	3459	15761
9	3825	15302
10	4186	14841
11	4549	14407
12	4923	14012
13	5283	13587
14	5669	13228
15	6040	12835
16	6422	12466
17	6791	12073
18	7154	11673
19	7520	11281
20	7887	10892
21	8266	10520
22	8634	10136
23	9000	9750
24	9370	9370
25	9729	8981
26	10096	8600
27	10505	8254
28	10892	7887
29	11263	7508
30	11647	7138
31	12023	6763
32	12386	6381
33	12750	6000
34	13107	5617
35	13476	5240
36	13844	4864
37	14215	4489
38	14579	4112
39	14957	3739
40	15321	3363
41	15688	2988
42	16049	2612
43	16422	2239
44	16778	1864
45	17155	1491
46	17523	1118
47	17898	745
48	18272	372
49	18649	0
